star_name,decimal_degrees,star_dist,st_spttype,st_lum
HIP 72622,-16.04161,23.24,A3III/V,36.16
HIP 72659 A,19.100633,6.78,G7.0V,0.65
HIP 72848,19.152271,11.51,K2V,0.54
HIP 73165,-4.346086,26.9,F2V,9.79
HIP 73184,-21.411281,5.86,K4.0V,0.29
HIP 73695 A,47.654014,12.51,G2V+G2V,1.74
HD 134987,-25.309164,26.21,G5V,1.63
HD 136352,-48.316959,14.81,G3/5V,1.09
HIP 75312 A,30.288241,17.86,G2V,1.64
HIP 76267,26.71491,23.01,A0V,70.81
HIP 76829,-44.660559,17.44,F3/5V,3.58
HIP 77070,6.42552,22.68,K2III,58.78
HIP 77257,7.35324,12.12,G0Vvar,2.22
HIP 77622,4.47758,21.6,Am(kA2hA5mA7V),12.88
HIP 77760,42.449988,15.89,F9V,3.26
HIP 77952,-63.42975,12.38,F0III/IV,9.43
HIP 78072,15.664733,11.25,F6V,3.13
HIP 78527,58.564437,21.03,F8IV-V,14.84
14 Her,43.81837,17.57,K0V,0.7
HIP 79672,-8.368237,13.9,G5V,1.11
HIP 80331,61.514075,28.23,G8III,68.79
HD 147513,-39.192989,12.78,G3/5V,1.03
HIP 80686,-70.08467,12.12,G0V,1.41
HD 150706,79.789989,28.22,G0,1.11
HIP 81300,-2.323836,9.75,K1V,0.47
HIP 81693 A,31.601887,10.72,F9IV,7.73
HIP 82396,-34.29261,19.54,K2IIIB,61.07
HIP 82860,65.134672,15.26,F6Vvar,2.26
HIP 83000,9.375056,28.04,K2IIIvar,53.37
GJ 649,25.745394,10.34,M2,0.05
HD 154345,47.079804,18.59,G8V,0.65
HIP 84012 A,-15.725148,27.09,A2.5VA,69.38
HIP 84143,-43.23849,22.53,F2V,20.17
HIP 84379,24.839587,23.04,A3IVvSB,25.63
HIP 84405 B,-26.600049,5.95,K1.5V,0.69
HIP 84478,-26.543416,5.95,K5.0V,0.16
HIP 84709,-34.989572,6.84,M1.5V,0.13
HIP 84720 A,-46.6365,8.8,M0V,0.52
HIP 84862,32.470272,14.33,G0V,1.3
HIP 84893,-21.112435,17.36,F2/3V,4.42
HIP 85340,-24.175023,25.5,A3MF0(IV),11.62
GJ 676 A,-51.636525,16.45,M0,0.11
HIP 85667 A,-1.062504,16.34,G6V,1.9
HIP 86032,12.560576,14.9,A5III,26.87
HIP 86201,68.757189,23.16,F5V,5.61
HIP 86486,-49.415155,21.45,F2V,4.86
HIP 86614,72.149499,22.84,F5IV-V,6.72
HIP 86736,-21.683086,17.65,F6/7V,3.02
HIP 86742,4.566917,25.09,K2III,63.86
HD 160691,-51.833588,15.51,G3IV/V,2.01
HIP 86974,27.722499,8.31,G5IV,2.78
HIP 88175,-3.690161,23.55,F2IV,6.61
HIP 88601 A,2.502439,5.1,K0V,0.68
HIP 88635,-30.42365,29.7,K0III,66.22
HIP 88745 A,30.561868,15.64,F7V,2.05
HIP 88771,9.563653,26.63,A4IVs,20.1
HIP 88972,38.458915,11.02,K2V,0.36
HIP 89042,-62.002768,17.61,G1V,1.78
HIP 89937,72.733698,8.06,F7Vvar,2.14
HIP 89962,-2.897122,18.54,K0III-IV,19.56
HD 169830,-29.816866,36.32,F8 V,4.59
HIP 90496,-25.421247,23.97,K1IIIB,52.22
HIP 91262,38.782993,7.68,A0Vvar,61
HIP 91438,-21.051502,13.08,G5V,0.71
HIP 92043,20.547124,19.21,F6V,6.72
HIP 92161,18.18123,28.89,A5III,13.58
HD 176051,32.901624,14.87,G0V,1.5
HIP 93506 A,-29.880114,27.04,A3IV,58.04
HIP 93747,13.86371,25.46,A0Vn,40.34
HIP 93825 A,-37.062757,17.3,F8/G0V,5.3
HIP 94376,67.661317,29.87,G9III,59.59
HIP 95447,11.942851,15.18,G8IVvar,1.84
HD 181433,-66.469371,26.76,K2IV/V,0.36
HIP 95501,3.114579,15.53,F2IV,9.01
HIP 96100,69.665402,5.75,G9.0V,0.44
HIP 96441,50.220463,18.34,F4V,4.51
HIP 96895,50.525446,21.08,G2V,1.7
HD 187123,34.419525,47.92,G3 V,1.35
HIP 97649,8.867385,5.12,A7IV-V,10.65
HIP 98036,6.407933,13.7,G8IVvar,6.29
HD 190360,29.898079,15.86,G6IV+...,1.2
HIP 99240,-66.179321,6.11,G8.0IV,1.33
HIP 99461,-36.097384,6.01,K2.5V,0.28
HD 192310,-27.032536,8.91,K3V,0.42
