Date,Perc_Chg,Group
12/1/15,-0.017530185,SPX
1/1/16,-0.050735322,SPX
2/1/16,-0.00412836,SPX
3/1/16,0.065991115,SPX
4/1/16,0.002699398,SPX
5/1/16,0.015324602,SPX
6/1/16,0.000910921,SPX
7/1/16,0.035609801,SPX
8/1/16,-0.001219243,SPX
9/1/16,-0.001234451,SPX
10/1/16,-0.019425679,SPX
11/1/16,0.034174522,SPX
12/1/16,0.018200762,SPX
1/1/17,0.017884358,SPX
2/1/17,0.03719816,SPX
3/1/17,-0.000389197,SPX
4/1/17,0.009091209,SPX
5/1/17,0.011576251,SPX
6/1/17,0.004813775,SPX
7/1/17,0.019348826,SPX
8/1/17,0.000546433,SPX
9/1/17,0.019302979,SPX
10/1/17,0.022188135,SPX
11/1/17,0.003720043,SPX
12/1/17,0.034342557,SPX
1/1/18,0.056178704,SPX
2/1/18,-0.038947372,SPX
3/1/18,-0.026884499,SPX
4/1/18,0.002718775,SPX
5/1/18,0.021608342,SPX
6/1/18,0.004842436,SPX
7/1/18,0.036021556,SPX
8/1/18,0.030263211,SPX
9/1/18,0.004294287,SPX
10/1/18,-0.069403356,SPX
11/1/18,0.017859357,SPX
12/1/18,-0.091776895,SPX
